,screen_names,texts,dates,langs
17,nataliviviana22,Estoy entre pedir una hamburguesa o hacer dieta 😔,2021-04-28 00:18:06,es
18,Mercy_15,se me antoja una hamburguesa !! :( jaja ya sea BK O MD JAJA PORFA  jaja ya quiero ir a Merida,2021-04-28 00:17:53,es
19,firchy002,@_narcolepsie_ Podría ser hamburguesa 😈😈😂 https://t.co/CHqixck7eK,2021-04-28 00:17:36,es
20,_RoNcO,"Es muy Martes para pedir una hamburguesa completa del souffle? 

""No dejes para mañana lo que puedes hacer hoy""

Listo, pedida!",2021-04-28 00:17:31,es
21,chotobaarr,q ganas de estar escuchando tan biónica mientras m como una hamburguesa y lloro jajsj,2021-04-28 00:17:27,es
22,re_kar,"@HugoReyesm Ah si tiene buenos combos por un precio accesible, pero no es la mejor hamburguesa a mi parecer, igual… https://t.co/vZwHSI7g8H",2021-04-28 00:16:11,es
23,ManuuPortas,Mato y muero por una hamburguesa con una coca😥,2021-04-28 00:15:51,es
24,LaExdeCarlos,"Qué drama con el Pío Pío. Desde los de finísimo paladar que no comen ahí porque ""mucha grasa"" pero se jartan una ha… https://t.co/nXuzX6lrWO",2021-04-28 00:15:34,es
25,Pamelaugh,HOY NO EJERCITE PERO AUN ASI COMI UNA HAMBURGUESA CON NUGGETS Y LA DISFRUTE Y QUE BUENO QUE LA DISFRUTE PORQUE MI C… https://t.co/wpmqfHYV0u,2021-04-28 00:15:15,es
26,dare_bo,"@AritzelHo Hace un par de años empecé a trabajar en Clayton, el primer día fui a almorzar a la plaza, pedí una hamb… https://t.co/F2OPYHYNKp",2021-04-28 00:14:59,es
27,RochiMata,por que me salta la publicidad de una hamburguesa con papas MALDITA SEA,2021-04-28 00:14:54,es
28,pedro9521,Te llevé una hamburguesa y tú mamá con cara me dijo está estudiando 😂 @sandypaola1698 jajajaja,2021-04-28 00:14:39,es
29,lourmartinez03,quizás una hamburguesa me suba el animo,2021-04-28 00:14:29,es
30,blidt,"Por convivir

Usa 🤮 para marcar lo que no comes. 

mostaza: 🤮
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
bróco… https://t.co/Xq2oVpKzBy",2021-04-28 00:14:25,es
31,facuatalaya86,@barandista Una buena hamburguesa,2021-04-28 00:14:11,es
32,vicebless,@yoongiwalls yo tambien hermana vayamos al burger 54 a comer hamburguesa vegana,2021-04-28 00:13:50,es
33,kiaraakostiuk,Nnas ganas de una super hamburguesa con papas,2021-04-28 00:13:26,es
34,jinnieN97,"@btsargento @BTS_twt Hamburguesa 

DASHI RUN ON IHEART
I vote for @BTS_twt #Dynamite  by Son Sung Deuk for… https://t.co/9iU66qJdnU",2021-04-28 00:13:16,en
35,Bautiiiii_,"mi mama:ME CAGASTE LA VIDA PENDEJO DE MIERDA

también mi mama:keres que te pida una hamburguesa?🥰🥰🥰",2021-04-28 00:12:57,es
36,EspectadorR_,"Por convivir...

Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 🤢🤢🤢🤢🤢🤢🤢
sushi:… https://t.co/XtDJ5L7xiR",2021-04-28 00:12:51,es
37,Kaiju_d_Cacao,"@ulmo Por convivir:

mostaza: 
pepinillo: 🤢
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones: 
hígado: 
ha… https://t.co/PU3X1hsMk0",2021-04-28 00:12:29,es
38,starlxghtx,"Quiero mi hamburguesa.

Cuando llega mi hamburguesa.

Ahora voy a necesitar dos hamburguesas más.",2021-04-28 00:12:24,es
39,_PilarCorredor_,"Solo unita.
Usa🤢 para marcar lo que no comes

mostaza: 
pepinillo:
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
ch… https://t.co/q9R4FvQsk4",2021-04-28 00:12:02,es
40,Inrri_engel,@RichardParker05 Viste con la hamburguesa no pasa eso,2021-04-28 00:11:45,es
41,Milagros23546,Que ganas de una hamburguesa con muchas papitas,2021-04-28 00:11:42,es
42,delfincamila3,Estoy entre ir al gimnasio a las 10 o pedirme una hamburguesa 🤔,2021-04-28 00:11:40,es
43,pietralucas,Veo una foto mas de una hamburguesa y me pido una,2021-04-28 00:11:39,es
44,__loliluli,"Dije que sí para pedir una hamburguesa con papas y ya no quiero, voy a comer un pedazo por CULPA",2021-04-28 00:11:36,es
45,Pao_10__,"Usa🤢 para marcar lo que no comes

mostaza: 
pepinillo: 🤢
cilantro: 
pizza con piña: 🤢
sushi: 
brócoli: 🤢
champiñone… https://t.co/O65hks5v4c",2021-04-28 00:11:22,es
46,G_sabrinaa,@paulinaarcem Come pan de hamburguesa,2021-04-28 00:11:22,es
47,SnAye09,"Como puede elegir entre una hamburguesa y algo dulce dioooos, LA HAMBURGUESA MIL VECES https://t.co/VveyFJG5lW",2021-04-28 00:11:10,es
48,zarraka,Con ganas de Hamburguesa. 🍔,2021-04-28 00:10:59,es
49,AdriiGatiica7,"Lo único que espero es que cuando se me pase esto y pueda comer, me inviten a comer una mansa hamburguesa 🍔😍 pq me muero de ganassssss😪",2021-04-28 00:10:17,es
50,feerto90,Que ganas de una hamburguesa Libreña,2021-04-28 00:10:13,es
51,jortizmty,@ernestofuca En Milán la Milanesa? En Hamburgo la Hamburguesa? No lo sé,2021-04-28 00:09:50,es
52,Blckbunny_,"Hoy me animé a salir a comer solo aquí en Ayotlan. Encontré un pequeño barcito. Me pedí una hamburguesa y un agua. 
Estado: De Jalisco
✨",2021-04-28 00:09:41,es
53,Hugo_ham1,hamburguesa https://t.co/bZTG2eTBjK,2021-04-28 00:09:23,in
54,ChindyAlo,"@SoyLaChachis mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones: 
hígado: 
hamburgues… https://t.co/2Oa2wII9Im",2021-04-28 00:09:18,es
55,joniandthejets,@barandista Hamburguesa,2021-04-28 00:09:08,in
56,Roberto76116518,"@AyCriMi Naaaaaaaaa mi amor 
Te estaba x preparar tu hamburguesa 
De veritas, de veritas🥰",2021-04-28 00:09:03,es
57,bostero_viejo,"@barandista Hamburguesa completa con fritas, una birra y miras a Boca",2021-04-28 00:08:58,es
58,diegoazulz,"Hartas ganas de una hamburguesa triple con papas fritas y una Coca Cola, Light obvio.",2021-04-28 00:08:39,es
59,LaCrestaNoSeCae,"Usa🤢para marcar lo que no comes

mostaza:
pepinillo: 🤢
cilantro: 
pizza con piña: 
sushi:
brócoli:
champiñones:
híg… https://t.co/RpZgVityql",2021-04-28 00:08:30,es
60,PriscilaaAndres,Esa hamburguesa la he comido como si fuera mi última comida jajajaja Hace años que no comía una Bembos 🥺,2021-04-28 00:08:17,es
61,louchiquito0,me haria muy feliz una hamburguesa de carls junior,2021-04-28 00:08:10,es
62,ignacioortiz3,"https://t.co/vGi7regUtl             
Beyond Meat está renovando su exclusiva hamburguesa a base de plantas",2021-04-28 00:07:57,pt
63,_aymabarrera,"@David_vlazqSSJ Cállate q despues me haces cambiarme las remeras y taparme, el precio que pago para salir a comer una hamburguesa",2021-04-28 00:07:56,es
64,h_elen_grace,"Lo siento que reniegue de los fandoms, pero es que ¿Qué le pasa a la peña? Osea que la hamburguesa no va a tener im… https://t.co/53BiGIledt",2021-04-28 00:07:48,es
65,TeideTweet,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 🤢 
sushi: 
brócoli: 
champiñone… https://t.co/ItFOtItJhd",2021-04-28 00:07:41,es
66,devilyangie,las fans ardidas en las respuestas x una hamburguesa es mi cosa favorita https://t.co/YbJuCm5TNr,2021-04-28 00:07:32,es
67,Joakoelias20,Ganas de ir a comer una hamburguesa obvio siempre,2021-04-28 00:07:31,es
68,NasWilliamsWho,"Usa 🤢 para marcar lo que no comes

mostaza:
pepinillo: 🤢
cilantro: 
pizza con piña: 🤢
sushi: 🤢
brócoli: 
champiñone… https://t.co/Ms1kKz5OT0",2021-04-28 00:07:26,es
69,jeongusky,jimin si m es fiel y ahora está comiéndose alta hamburguesa a mi lado así q callense &lt;3,2021-04-28 00:07:21,es
70,Danielaydaa,"Mostaza:
Pepinillo:
Cilantro:
Pizza con piña:🤮
Sushi:
Brócoli: 
Champiñones:
Hígado: 
Hamburguesa:
Hot dogs:
Aceitu… https://t.co/ok9SiCnEl8",2021-04-28 00:07:15,es
71,pomarassic,"usa 🤢 para marcar lo que NO comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/NCn8EM3pVe",2021-04-28 00:07:02,es
72,palogomez__,@gonzaesteiner Yo quiero hamburguesa,2021-04-28 00:06:44,es
73,camif_20,quieor una hamburguesa,2021-04-28 00:06:16,es
74,guadabenavidez3,m voy a comprar una hamburguesa del black pq es lo unico q m hace bien,2021-04-28 00:05:42,es
75,sigosiendonuevo,"En un confuso episodio en vez de escribir un tuit me pedí un delivery de una hamburguesa doble con papas fritas, soy esto también.",2021-04-28 00:05:35,es
76,Rriita,Quiero una hamburguesa del cóndor ya,2021-04-28 00:05:23,es
77,quischur,Quiero una pizza y una hamburguesa y una malteada y un helado gigante y dulces y chocolates y un perrito caliente de los transmilenio,2021-04-28 00:05:21,es
78,marrrzelito,Vi un vídeo en tiktok de un chabón diciendo que hay que tirar la carne picada varias veces contra la mesada para qu… https://t.co/PnLYqDS6l6,2021-04-28 00:05:08,es
79,inmxrtalsxnd,"Un ya veremos no era un no, por lo menos. Pero la sorpresa se la llevaría seguro.

El joven se había terminado de u… https://t.co/kFPiXkHxJG",2021-04-28 00:04:44,es
80,foIkwaIIs,soy vegetaria pero cada tanto me clavo una hamburguesa https://t.co/v53GGSlpbO,2021-04-28 00:04:39,es
81,CaceresConC,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/g7dcOmWn5b",2021-04-28 00:04:34,es
82,ivannazau,"Esta pieza brillante se llama ""tiempos confusos"" de @burgerking que busca promocionar la #ImpossibleBurger, que es… https://t.co/MM8zhXKcvS",2021-04-28 00:04:30,es
83,lababyboooo,Una pinché hamburguesa del Carl’s y una Ice Shake cream es lo que me hace falta la neta,2021-04-28 00:04:25,es
84,kattcorts,"Usa🤢para marcar lo que no comes

mostaza:
pepinillo:
cilantro: 
pizza con piña: 
sushi:
brócoli:
champiñones:
hígad… https://t.co/5aUAh0nm7e",2021-04-28 00:04:24,es
85,psychegev,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 🤢
pizza con piña: 
sushi: 🌱 
brócoli: 
champiñon… https://t.co/GFA50ywROi",2021-04-28 00:04:16,es
86,yb1005_,La linda no pensará mándarme mi hamburguesa? Jm,2021-04-28 00:04:08,es
87,Sweetxhabit1,"Le pedí de nuevo hamburguesa al del repartidor lindo,fav y le pido el número (jodaaaa)",2021-04-28 00:03:32,es
88,LelyftRubius,@kingmxmus 💵 💵 toma el dinero de la hamburguesa,2021-04-28 00:03:29,es
89,beccacacacaca,comí hamburguesa https://t.co/runW8fFTuy,2021-04-28 00:03:24,es
90,iewonga,"Muchas ganas que me inviten la hamburguesa que ando antojada comer ahorita, wow",2021-04-28 00:03:21,es
91,humbertoyya,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 🤢
cilantro: 
pizza con piña: 
sushi: 🤢
brócoli: 
champiñone… https://t.co/3Ot6DfzExf",2021-04-28 00:03:09,es
92,DabetoChica,"8 alitas picantes
Un paquete de papás grandes de KFC
Una pepsi Light
Una hamburguesa regular de mcdonalds 
Un paque… https://t.co/WsaiTk05Ps",2021-04-28 00:03:08,es
93,telerinonline,Como dice @osvaldobazan si pueden ayuden a los gastronomicos amigos! Miren este mero a la vasca con pisto manchego… https://t.co/9dRxeVH53X,2021-04-28 00:02:54,es
94,MapplesFp,"Hamburguesa, Arroz con queso.",2021-04-28 00:02:35,es
95,LaBrujaCosmica8,"Usa 🤢 para marcar lo que no comes

Semen:
mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 🤢
sushi: 
brócoli: 
Pito… https://t.co/1ZdIMARGyi",2021-04-28 00:02:34,es
96,Matigonzalezz1,Quiero comer una re hamburguesa,2021-04-28 00:02:30,es
97,LuisGPorres,@recmyk No te tardas eso jaja tú me das miedo pero por el fenómeno de las papas y la hamburguesa.,2021-04-28 00:02:25,es
98,Mitlan17,@fanaticosMMAGT Esto fue por que era revancha y era medio obvio el resultado. Los q pagan pa ver el bodrio de jake… https://t.co/3rCBumiq1f,2021-04-28 00:02:19,es
99,LuanaPalacios,"Mi novio no viene a dormir, estoy sola y como autoconsuelo me pedí una hamburguesa. Nunca una ensaladita para ser feliz Luana no?",2021-04-28 00:02:03,es
100,marcosripari00,Le tendria la hamburguesa mientras posa x dios igual seguro me la termino comiendo pero lo intentaria https://t.co/DIOBpefNJz,2021-04-28 00:01:59,es
101,abbybolletta28,Estoy considerando prostituirme por una hamburguesa de mostaza,2021-04-28 00:01:56,es
102,ldjl21,Que ganas de una hamburguesa casera con papitas,2021-04-28 00:01:54,es
103,SoyLaChachis,"Por convivir

Usa 🤢 para marcar lo que no comes. 

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócol… https://t.co/vAMeSIXpMY",2021-04-28 00:01:45,es
104,rominag55638618,Otra vez quiero una buena hamburguesa y otra vez me voy quedar con las ganas:(,2021-04-28 00:01:11,es
105,CR_Dominguez,"@iojiki Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
cham… https://t.co/6MXQf1mj4H",2021-04-28 00:00:54,es
106,ChaveroLi,Mi hermano está triste y el único consuelo válido en esta flia es preguntarle cada 10 mins si quiere comer hamburgu… https://t.co/gV7e5BHQdU,2021-04-28 00:00:26,es
107,p_vic_thor,"Que ganas tengo de una hamburguesa.
Que feo se siente no comer.",2021-04-28 00:00:25,es
108,Flow_Atelier,"Usa 🤢 para marcar lo que no comes

Mostaza:
Pepino: 
Cilantro: 
Pizza con ananá:  ?
Sushi: 
Brócoli: 
Champiñones:… https://t.co/jDAK22Eawp",2021-04-27 23:59:46,es
109,nataliacs0627,Mi pérdida de apetito es tan terrible que ni una hamburguesa completa me puedo comer.😭,2021-04-27 23:59:31,es
110,Huitzzil,"También quiero convivir

Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi… https://t.co/w0GKTmQHag",2021-04-27 23:59:21,es
111,exe_fiumarelli,Unas ganas de una hamburguesa,2021-04-27 23:59:20,es
112,aisman6,"Pequeño espacio de ayuda a emprendedores.

Recomendaciones
Comida mexicana @Taqueromuxo
Hamburguesa @MontuBurger
El… https://t.co/oMzd5IzueB",2021-04-27 23:59:09,es
113,kuchita_mon,Ya quiero una hamburguesa. 😪,2021-04-27 23:59:07,es
114,kiminonari,Sois unas crías de verdad que por comer una hamburguesa de bts q seguro que es igual a la de 1 euro ponéis una quej… https://t.co/HpwiT8n0gu,2021-04-27 23:58:52,es
115,_carmela666,quiero una hamburguesa,2021-04-27 23:58:47,es
116,carlos_atachi,@staryuukiii Deja termino mi hamburguesa y te animo xD,2021-04-27 23:58:30,es
117,iismael23,@Urielfranco98 Sii y nos perdimos Hamburguesa de pollo y nuggets de pollo con buena carne!!!,2021-04-27 23:58:20,es
118,ChicleBombaZ,"Usa 🤢 para marcar lo que no comes
&lt;todo trago, todo ,soy un 🐽🐷&gt; 

mostaza: 
pepinillo: 
cilantro: 
pizza con piña:… https://t.co/eO1iZ3bAaG",2021-04-27 23:57:51,es
119,iojiki,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/1CoutYAoym",2021-04-27 23:57:42,es
120,Cesar_Malo,La Godzilla es la mejor hamburguesa de Carls Jr... pero la mas pinche cara que he pagado en toda mi vida😂.... eso m… https://t.co/sKFlYBF63c,2021-04-27 23:57:08,es
121,ArianaTeso,"Necesitaría una hamburguesa pa ser feliz nomás. Bueno, un chocolatito también",2021-04-27 23:57:07,es
122,bokeeeta,La foto: *una hamburguesa*,2021-04-27 23:56:35,es
123,MaxiVottero19,Estaba aburrido entonces me pedí una hamburguesa y una chocolina,2021-04-27 23:56:28,es
124,lvasquezt,"Hamburguesa Dulce chipotle, 🍔 https://t.co/J79PkyWJD1",2021-04-27 23:55:57,es
125,Conejita_lunar,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/0ydnq2Beq2",2021-04-27 23:55:43,es
126,milaMorales05,"@btsargento @BTS_twt Hamburguesa 

DASHI RUN ON iHEART
I vote #Dynamite for #FaveChoreography at the 2021 #iHeartAwards @BTS_twt",2021-04-27 23:55:09,en
127,triniii_herrera,"@braveisLou Hamburguesa, puré de papas y milanesa de pollo , ñoquis y no se que mas",2021-04-27 23:54:42,es
128,pilarcitadcf,Tengo hambre de hamburguesa,2021-04-27 23:54:39,es
129,CarRodriguezG,"Acabo de comer un plato de polenta con salsa y de postre arroz con leche .
Pero en realidad deseo gordamente una hamburguesa",2021-04-27 23:54:39,es
130,clericicar,Antojadisima de una hamburguesa y maratón de rápido y furioso,2021-04-27 23:54:27,es
131,AgustinaVega08,Hace mil años que deseaba comer hamburguesa,2021-04-27 23:54:23,es
132,NotCharless,Me merezco una hamburguesa del corral https://t.co/C8nTPhf55h,2021-04-27 23:54:08,es
133,PaabloCarvajal,Serían yo comiendo una hamburguesa mientras toman clase de LDLs y riesgo cardiovascular?,2021-04-27 23:53:58,es
134,i91RIVER0AD,q asco no tocó una hamburguesa nunca más,2021-04-27 23:53:54,es
135,excessvs,"Que si Khalid se quería comer su pepinillo, podía, eh. 

Una vez su hamburguesa estuvo limpia de la cosa esa, Dinah… https://t.co/4uScRQrJI7",2021-04-27 23:53:53,es
136,DumySilverPay,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 🤢
cilantro: 
pizza con piña: 
sushi: 
brócoli: 🤢
champiñone… https://t.co/5aVGrO9fsc",2021-04-27 23:53:23,es
137,Floor_Maatinez,Que ganas de ir a comer una buena hamburguesa de Macdonald o mostaza 😁😋😋😋,2021-04-27 23:53:19,es
138,JulianaErazos_,Mi lugar favorito soy yo comiéndome una hamburguesa. ☺️💖,2021-04-27 23:53:02,es
139,Sergiokvothe,"Usa 🤢 para marcar lo que no comes

mostaza:
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/V0Bd9jICrl",2021-04-27 23:52:32,es
140,sm_1891,"@amandoamarco mostaza: 🤢
pepinillo: 🤢
cilantro: 🤢
pizza con piña: 🤢
sushi:🤢
brócoli: 🤢
champiñones: 🤢
hígado: 🤢
ham… https://t.co/hWmhjV1asG",2021-04-27 23:52:29,es
141,g_abby_,"@soteloveme Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo:🤢
cilantro: 
pizza con piña: 🤢
sushi: 
brócoli:… https://t.co/UUr080Bo1P",2021-04-27 23:50:57,es
142,Jxsedxvid,"Yo no salgo con nadie que no le ppnga en claro como son las vainas, y mis amigas lo saben, no ando con esa paja, un… https://t.co/vJNCse54pe",2021-04-27 23:50:27,es
143,lenvl0g,qué weá más mala la hamburguesa y sobre todo si es de quinua,2021-04-27 23:50:13,es
144,LuanaCos_ok,Gane como embajadora de la página 😭 pinta hamburguesa para festejar? 🤩,2021-04-27 23:50:13,es
145,agusrodc_,mato y muero por una hamburguesa bien grasienta con papitas,2021-04-27 23:50:12,es
146,_fedelugo,una hamburguesa con papas fritas es todo lo que necesito pa estar bien,2021-04-27 23:50:01,es
147,Argentapromedio,El psicópata y el que come hamburguesa de SOJA.,2021-04-27 23:49:46,es
148,14Alexissotelo,Mepa que hoy me pido una hamburguesa con papas  🤷‍♂️,2021-04-27 23:49:31,es
149,Nelsonriverapu,"Usa 🤢 para marcar lo que no comes
mostaza: 
pepinillo:
cilantro: 
pizza con piña: 
sushi:
brócoli: 
champiñones: 
h… https://t.co/3JuN9FRKKi",2021-04-27 23:49:18,es
150,micaagabrielli,Contando los minutos para que mi novio deje de cursar y elija la hamburguesa porque muerta de hambre,2021-04-27 23:49:16,es
151,NudoCojo,"@BaruchRr @milpesosmx @horridibujos @Corasoun Por convivir...

Usa 🤢 para marcar lo que no comes

Chile: 🤢
Chairas… https://t.co/UdCRJSCHuB",2021-04-27 23:48:47,es
152,emchaker,Y si me voy solita a comerme la hamburguesa que quiero?😭,2021-04-27 23:48:46,es
153,jvadd91,tengo un cansancio corporal por dios carolina traeme la hamburguesa q me quiero ir a dormir,2021-04-27 23:48:45,es
154,baddoblas,"Kiko: Cuanto te debo?
xXx: La hamburguesa más el vodka 15...-
Kiko: Te doy 300
xXx: 300 si, eso",2021-04-27 23:48:35,es
155,sabrinavitabar7,"Llevaba más de 5 meses sin comer cosas fritas, pero kathy me invitó a comer una hamburguesa completa y bue",2021-04-27 23:48:20,es
156,zx6_julieta,Un fav y me pido una hamburguesa de pollo de mostaza,2021-04-27 23:47:39,es
157,paauvillarino,LA VIDA por una hamburguesa d milton,2021-04-27 23:47:35,es
158,milimedeot,hola alguien me quiere regalar una hamburguesa,2021-04-27 23:47:17,es
159,paulericklobon,"@LadyUK_07 Usa 🤢 para marcar lo que no comes

mostaza: 🤤
pepinillo: 🤤
cilantro: 🤤
pizza con piña: 🤤
sushi: 🤤
brócol… https://t.co/ech2Rfa3nY",2021-04-27 23:47:08,es
160,LuisaCaballeroR,"Usa🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/hwo10ekUoB",2021-04-27 23:46:52,es
161,Nora_Dreyfus,"Por convivir...

Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
bróco… https://t.co/Have2YS0F5",2021-04-27 23:46:45,es
162,ulises_agustin4,Pinta ir a ver ese partidito comiendo señora hamburguesa 🤔😋,2021-04-27 23:46:25,es
163,Valbarracin14,Q ganas de una hamburguesa de black pan 🥺🥺🥺🥺🥺,2021-04-27 23:45:44,es
164,vherrerab23,"Luego de esta dieta líquida, ojalá que esta semana se me atraviese una hamburguesa con papitas y un waffle de Nutella",2021-04-27 23:45:37,es
165,ElMcAdams,"Hoy compre una hamburguesa de McDonald’s y cuando probé no tenía ni sabor, ni aroma.. ya no hacen las hamburguesas como antes.",2021-04-27 23:45:31,es
166,PipeLaverdeSF,"Solo unita.
Usa🤢 para marcar lo que no comes

mostaza: 
pepinillo: 🤢🤢🤢
cilantro: 
pizza con piña: 
sushi: 🤢
brócoli… https://t.co/J9WfxTvvWQ",2021-04-27 23:45:31,es
167,BNTG_jm,@jeonbels Pizza o hamburguesa?,2021-04-27 23:45:24,es
168,_yaneth22,"Papitas del Mc o de taco bell o de nikos
Hamburguesa de buger king
Pollo de KFC
Pure de KFC 

✨El combo perfect✨",2021-04-27 23:45:19,fr
169,noesuarez___,Me comería una hamburguesa con papas con cheddar 🤤,2021-04-27 23:45:13,es
170,ArrobaCrispe,No hay nada que deteste más que cuando le echan a una hamburguesa una rodaja gruesa de tomate.,2021-04-27 23:45:12,es
171,belen_nardelli,No se que es la felicidad pero seguro es muy parecida a una hamburguesa de Ronnie b,2021-04-27 23:44:40,es
172,sillon17,"Que se acabe el virus y te invito a una hamburguesa y recordar cuando íbamos a ...""dar par vueltas en el play land… https://t.co/4XTijqCLbA",2021-04-27 23:44:38,es
173,Oriludmilaa,TENGO GANAS DE UNA HAMBURGUESA DE MOSTAZA:(,2021-04-27 23:44:05,es
174,zegnix,"Por convivir...

Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
bróco… https://t.co/h8lESxedEN",2021-04-27 23:43:59,es
175,AguustinaM_,Todos los findes hamburguesa fija https://t.co/oInnTnZeCe,2021-04-27 23:43:50,es
176,NicolasMavrici_,Me acabo de pedir una hamburguesa,2021-04-27 23:43:17,es
177,julianamcs,"Mi dermatóloga: Juliana no puedes comer dulce, pan, tomar lácteos ni licor.

Yo el mismo día: Amor vamos a comer ha… https://t.co/wuOarqHPSe",2021-04-27 23:42:50,es
178,AngelicaClaro21,"Me quiero comer una hamburguesa y mi doña interna me recordo que en la casa habia comida.

Y ps nada, aqui estoy ca… https://t.co/xyzslHqwzF",2021-04-27 23:42:46,es
179,RappiCuponesAr2,"$400 GRATIS ➕ $8.000 en envíos

.🍻🍔🍟🍕😍❤

 CODIGO: matias427

#Rappi #rappicreditos #rappiprime #voucher #regalo… https://t.co/qRdOduKPhr",2021-04-27 23:42:46,es
180,wonderquartz,primero me obligo a comprarme un cuadradito de torta solo porque es vegana cuando le dije 20 veces en el local mism… https://t.co/cjCTPFsCAv,2021-04-27 23:41:44,es
181,judiit_gs,"@Sara_170000 ni tan mal 
mostaza: 🤢
pepinillo: 🤢
cilantro: 
pizza con piña: 🤢
sushi: 🤢
brócoli: 
champiñones: 🤢
híg… https://t.co/qJkTJ76j7c",2021-04-27 23:41:25,es
182,Yo_mera_mty,"Esta hamburguesa llamada “Diablo” de ⁦@CarlsJrMx⁩ está deliciosa, ese queso jalapeño empanizado y relleno de queso… https://t.co/mrTH59PjGG",2021-04-27 23:41:23,es
