,screen_names,texts,dates,langs
18,ailenciitaa,Tremendas mis ganas de una hamburguesa con papas🥺,2021-04-27 22:47:12,es
19,nubia_ti,"Empecé mi régimen de ejercicio para estar culo para los 45, terminando de hacer la sesión me como una hamburguesa c… https://t.co/5VnmxEd3zr",2021-04-27 22:45:11,es
20,lucianaanrique,ayy estás ganas de comer una hamburguesa con mucho queso cheddar que no se vannn 🥺,2021-04-27 22:38:42,es
21,Casssquito,Y una hamburguesa con abundante cheddar,2021-04-27 22:38:04,es
22,insomniathemoon,"@aoidaruma_ Claro, aparte no se pone a pensar, el fandom es grande por lo tanto hay mucha gente boluda y que a un e… https://t.co/ZQL6cNbX6Q",2021-04-27 22:23:06,es
23,PaolaRique,Una hamburguesa con papas está a punto de solucionar mis problemas,2021-04-27 22:21:33,es
24,guadagaro12,Que ganas de una hamburguesa con papas🤤🤤,2021-04-27 22:20:26,es
25,Tombaan66,@KwikWarren Una hamburguesa con pescado o carne?,2021-04-27 22:17:41,es
26,dochugule,Que laburo son estas botellas ecológicas y todo ¿para que? Si después un pelado yankie contamina en una hora hacien… https://t.co/QPut70atXZ,2021-04-27 22:11:34,es
27,MeelRadolci,Unas ganas de comer hamburguesa con papas fritas,2021-04-27 22:10:54,es
28,magamartinezok,Esas ganas de una buena hamburguesa con mucha cebolla caramelizada,2021-04-27 22:05:16,es
29,MartinaGallar1,queriendo una hamburguesa con muchas papas,2021-04-27 22:04:23,es
30,juanvgar2013,@zucepunk @algeneiro Hamburguesa con queso de toda la vida. 🤣🤣,2021-04-27 22:02:57,es
31,camilaandreaa12,Quiero una hamburguesa con full papitas😔,2021-04-27 22:01:21,es
32,CariitoRolan,"La llamé a mi mamá y le conté que me duele la panza porque chupe frío, sin mencionar la TREMENDA HAMBURGUESA CON QU… https://t.co/mvPzuDyvQZ",2021-04-27 21:58:28,es
33,_swanblack_,Y ahora en la vuelta a casa me estoy yendo a comprar una hamburguesa con papitas para poder seguir estudiando.,2021-04-27 21:55:37,es
34,Candelasoler_,Me antoje de una hamburguesa con papitas 🥺,2021-04-27 21:51:56,es
35,FabielyS,Quiero una hamburguesa con sweet potatoes,2021-04-27 21:48:13,es
36,DbcJavier,@sergionino0902 @ChupaChups_esp @ElOtaku91320000 @ChipsAhoySpain @KFC_ES Un chupachups sabor hamburguesa con palo de galleta 😆,2021-04-27 21:47:06,es
37,eliannsanchezz,Que ganas de una buena hamburguesa con abundante panceta y de postre la hermana de algún amigo,2021-04-27 21:46:11,es
38,larazon_es,Insectos: ¿comistrajo o manjar? No quedan muchos años hasta que los insectos se introduzcan en los platos europeos… https://t.co/tpOKSfIeha,2021-04-27 21:45:02,es
39,gabrielvdh,Después del segundo día consecutivo sin almorzar estoy en condiciones de decir q si algún delivery me trae una hamb… https://t.co/HrqhFtkCRf,2021-04-27 21:40:07,es
40,Micaela25678045,"Hola si, quiero una hamburguesa con mucho cheddar.",2021-04-27 21:37:43,es
41,SalvadorSindoni,"@negromangueraa Será que la carne,  porque la hamburguesa es todo. 

No está mala,  es una hamburguesa con huevo.",2021-04-27 21:21:28,es
42,joacorosaless,que ganas d una buena hamburguesa con tremenda coca diosss,2021-04-27 21:18:27,es
43,sool_ruizdiaz,Me comería una hamburguesa con unas papitas rikis,2021-04-27 21:14:28,es
44,andreacpa1029,Que ganas de una hamburguesa con Coca Cola 🥺🥺,2021-04-27 21:14:01,es
45,LBaeteker,"Me siento mal, necesito una hamburguesa con papas fritas y coca cola para seguir sobreviviendo",2021-04-27 21:13:48,es
46,Daniela_tapiaz,"Necesito una hamburguesa, con papitas bañadas en queso cheddar y una Coca-cola 🤤",2021-04-27 21:12:27,es
47,_ropulido,hoy ((((siempre))) toy antojada de una hamburguesa con papas cheddar y después helado. Como tengo camita sola lo voy a aprovechar😛♥️,2021-04-27 21:07:19,es
48,giufinocchio_,Se me antojo una buena hamburguesa con cheddar a las 18:00 de la tarde bien che,2021-04-27 21:02:13,es
49,EzeCambon,Que ganas de tremenda hamburguesa con queso,2021-04-27 20:57:37,es
50,DanysR7,@luisferpo @DTVTotal Le gustará mojada pero la hamburguesa con coca cola,2021-04-27 20:55:25,es
51,zairasofiaa,Deseo una hamburguesa con mucho cheddar,2021-04-27 20:42:34,es
52,RocioTiscornia2,Quiero hamburguesa con papas fritas dios 🤦‍♀️,2021-04-27 20:39:46,es
53,katiamtzzz,@eduardo_jared05 Hamburguesa con trompo gratis para ti 🥺,2021-04-27 20:39:39,es
54,1gustavovega,@Naaiir6 Y ahí ficharon la hamburguesa con nabi jajajajajajajajaja,2021-04-27 20:38:48,es
55,NoSoyA7,"@sunshi17_ @FloTek0 @lisvmark @oriongles De hecho es verdad se me hizo muy horrible la actitud del trabajador,es co… https://t.co/lyFDKlIji0",2021-04-27 20:33:19,es
56,wndygxl,se me antoja una hamburguesa con mucho queso,2021-04-27 20:10:15,es
57,julialunaa23,quiero ir al fogón de Mariana a comerme la hamburguesa con patatas de 5€,2021-04-27 20:09:31,es
58,paupalta,"La hamburguesa con guacamole queda soñada, no me jodan",2021-04-27 20:05:49,es
59,albateresaa,"@Lilianriverav Noooombre cómete unas papitas preparadas o una hamburguesa con una coca cola bieeeen helada, dicen que con eso se quita 😃",2021-04-27 20:00:48,es
60,RidiculousBurgr,CHEESE BURGER / HAMBURGUESA CON QUESO - World Famous in Costa Rica! Jaco Top 10 Restaurant.. OVER 38 DIFFERENT GOUR… https://t.co/cVMTr6siwJ,2021-04-27 20:00:26,en
61,CandelaR1945,quiero una hamburguesa con una coca  llena de hielos 🤤🤤,2021-04-27 19:55:57,es
62,KarlaEsalas,Lo único que le pido a la vida en estos momentos es una hamburguesa con piña 🥺,2021-04-27 19:49:20,es
63,_malenaramos,pensando en pedir una hamburguesa con queso de madlen para matar las penas 😔,2021-04-27 19:32:25,es
64,sxseils,la escena de llanto q está haciendo mi gata hace media hora xq olió que estaba comiendome una hamburguesa con papas… https://t.co/K0xiP2nFib,2021-04-27 19:27:24,es
65,CoomerciaS,"Adquiere ya una deliciosa hamburguesa con tocino y papas, de @livorno_pizza_y_cafe, solo en las plataformas de COOM… https://t.co/0A1Xso3Y7v",2021-04-27 19:25:32,es
66,munozjessii,Quiero una hamburguesa con papas 🤤,2021-04-27 19:23:54,es
67,sirannonster,"@c_porcel Me acabo de comer una hamburguesa con hongos, pero hago un hueco.",2021-04-27 19:09:05,es
68,MafeCabrales,Necesito hamburguesa con malteada,2021-04-27 19:02:26,es
69,kmi_sanchez22,Que ganas de una hamburguesa con mucho cheddar o unos sanguchitos de miga,2021-04-27 19:02:07,es
70,LauraTameez,Voy a comer hamburguesa con agua 😬😓😂,2021-04-27 18:44:05,es
71,De_laAalaZ,"No manchen, desayuné media hamburguesa con papas y ya hice 4 cuartillas de mi tesis, envié 6 correos y saqué una ch… https://t.co/Sl9IPHO4lH",2021-04-27 18:35:06,es
72,RidiculousBurgr,CHEESE BURGER / HAMBURGUESA CON QUESO - KIDS HAMBURGERS WITH FACES! World Famous in Costa Rica! OVER 38 DIFFERENT G… https://t.co/DCBMPGL3wA,2021-04-27 18:30:05,en
73,rxswalls_,"@sofiimionn hola Sofi amor de mi vida dueña de mi corazón, cómo estás mi churro con dulce de leche, mi asado con ch… https://t.co/1qzW0eJZuP",2021-04-27 18:27:28,es
74,xcchp,tengo muchas ganas d una hamburguesa con papas,2021-04-27 18:23:48,es
75,cagaresmipason,@tqseulgi Ya tía a ti te ponen hamburguesa CON queso,2021-04-27 18:18:11,es
76,latam_jhope_2,"@Karuchi14_ @Ani7JHope @BTS_twt Hola, hamburguesa con papas, rico!💜
Feliz tarde!💚",2021-04-27 18:11:02,es
77,Willi_o03,Hace cuanto no comia una hamburguesa con papas de la esquina de la plaza😋🤤,2021-04-27 17:46:20,es
78,DonMillagy,"La próxima vez que pidas una hamburguesa de #McDonalds , la imagen del nuevo #Nissan GT-R podría aparecer mágicamen… https://t.co/ViKU35x08j",2021-04-27 17:46:09,es
79,medinayoli_,Y termino cenando una hamburguesa con doble queso y los adheresos del universo https://t.co/m8mQyuigIh,2021-04-27 17:43:38,es
80,JuanGEncina,"Hamburguesa con papas fritas hecha en Georgia por mi amor Alejandro, TU ME OYEEEEES?",2021-04-27 17:35:23,es
81,aaaantoc,Muero por un lomito o una hamburguesa con papas 😭😭😭,2021-04-27 17:32:16,es
82,edgiraldos,#BebidasAzucaradasSon la combinación perfecta... se imaginan una hamburguesa con aguapanela? Me pueden poner la coc… https://t.co/ANBLa2pyHG,2021-04-27 17:26:21,es
83,Florciita_jacob,Que lindo recibir un mensaje de mi papá diciendo que el viernes me hace una hamburguesa con papitas♥️😍,2021-04-27 17:19:58,es
84,TamaraDubreuil,Quiero una hamburguesa con papas pero no tengo plataaa:(,2021-04-27 17:06:34,es
85,danielmigranha,En la primaria le tiraba carro a un amigo porque a veces le echaban de lonche pan de hamburguesa con mermelada y no… https://t.co/zo7yJhubmh,2021-04-27 16:40:55,es
86,frydxar,@Jashlem la verdad es que me estoy comiendo una hamburguesa con mucho queso pero same jean muy same,2021-04-27 16:37:40,es
87,Miguelnuver,Mi papá es de los que cree que aún sale uno a comer hamburguesa con la novia con 20 mil pesos🥲,2021-04-27 16:34:20,es
88,borja217,"Vergonzoso lo de @DIA_Esp, me compro una hamburguesa con mo, y me ponen mil pegas a la hora de la devolución, no co… https://t.co/aw4Y5TlJVK",2021-04-27 16:29:41,es
89,claperhernandez,Hamburguesa con queso parmesano y tocino | Comidalogía con Roldi https://t.co/ZBcE24jlJR vía @YouTube,2021-04-27 16:21:06,es
90,cozzettini,@estoyIoI @camaIardo @reenotra como q las dos te mandas una hamburguesa con cafe,2021-04-27 16:14:43,es
91,anash____,Acabo de ver una historia de una chica que ponía “hoy cenamos mexicano” y era una hamburguesa con patatas 🤡,2021-04-27 16:08:27,es
92,purematraca,@soylaalterna2 Una hamburguesa con chingo de mayonesa y  una Coca-Cola bien fría,2021-04-27 16:05:08,es
93,JuanPablo080,"El domingo hice un tour por Villa Krauze y me encontré con una hamburguesa con papas a $120, es por ahí https://t.co/B7we3TF5GI",2021-04-27 15:57:34,es
94,OscarPertusa,"Creo que tras perder 16kg me puedo comer a gusto una hamburguesa con mucho queso. Quieres? 

#oscarpertusa… https://t.co/pxrNwTN26W",2021-04-27 15:41:18,es
95,SofiaOyarzabal,Puedo estar comiendo una hamburguesa con papas fritas pero OJO yo te lo bajo con agua siempre,2021-04-27 15:32:09,es
96,lulemus1,salgo d la escuela y mi papá m compro una hamburguesa con papas &lt;3,2021-04-27 15:25:13,es
97,sergiobucks93,"En el Mcdonalds
-cuanto esta la Hamburguesa con queso?
-un cuarto de libra
-no no yo solo quiero la Hamburguesa sim… https://t.co/05NdVu2Mtz",2021-04-27 15:23:49,es
98,Yinisel24,aquí con hambre. solo tengo yogurt y una hamburguesa con queso. mannnn,2021-04-27 15:13:47,es
99,Maia_Bramson,Tomate con aceite de oliva y hamburguesa con ajito https://t.co/YPpCWxWIJK,2021-04-27 15:00:43,es
100,BattipedeA,Lo antojada que estoy de una hamburguesa con cheddarrrrr,2021-04-27 14:50:21,es
101,LuisPobleteGal1,"@McDonalds_Cl
@SeremiSaludRM
@UberEats_Chile
@SeremiSaludRM
@SERNAC
@McDonalds_Cl
@SERNAC

Hace  varias semanas hic… https://t.co/qqjoERGfaU",2021-04-27 14:48:53,es
102,pollo_cool,"Ahorrar siempre será excelente idea, pero es mejor cuando ahorras con una #CoolAhorroBurger, una hamburguesa con ca… https://t.co/Tly8F9BGdD",2021-04-27 14:44:28,es
103,_ccandediaz,las ganas que tengo de comer una buena hamburguesa con papas xdiooos,2021-04-27 14:38:57,es
104,talkfasthigh,"@keepsmilingcth ay sí, las fotos de él con Kay que tenían la ropa a juego y estábamos tratando de descifrar qué era… https://t.co/iwqTUAI7vX",2021-04-27 14:13:38,es
105,wotan_BN,"No aplica para la pizza/hamburguesa con piña, pollo con chocolate, vallenato y champeta",2021-04-27 14:08:07,es
106,SoloAbrahamyYa,Tengo mucho antojo de alguna hamburguesa con champiñón :(,2021-04-27 13:55:13,es
107,helloimstvn,Felicidades y muchas gracias... ¿Va a querer o no su hamburguesa con papas y refresco? https://t.co/6n6Fjw0z88,2021-04-27 13:42:41,es
108,whysolapis,"La gente cuando haga un Oscar: afterparty y borrachera
Joaquin Phoenix cuando gana un Oscar: comer patatas y hambur… https://t.co/VBPhjwJe1b",2021-04-27 13:29:07,es
109,HinzeEdit,quiero una hamburguesa con papas fritas 😬,2021-04-27 13:00:38,es
110,Eriicarabajaltx,Que ganas de una hamburguesa con queso cheddar 😍🤤🤤,2021-04-27 13:00:38,es
111,maitenagarciaa,son las 10 de la mañana y yo pensando que quiero una hamburguesa con cheddar,2021-04-27 12:51:40,es
112,lamujerdmikasa,hoy m comí una hamburguesa con papas y dios q asco las papas estaban frías y todas blanditas,2021-04-27 12:44:12,es
113,elchelemarco,@_Madredegatos @elbajonsv2 Buenísima la hamburguesa con piña 🍍,2021-04-27 12:10:08,es
114,georgnotclothed,por favor lo RICA que sebe ser esta hamburguesa con palta pepino y panceta es basicamente las papas con ensalada qu… https://t.co/7XJZLD5Fwn,2021-04-27 11:53:51,es
115,pokerufis,"Hamburguesa con patatas fritas, jamón York y queso. Salsa barbacoa y mostaza https://t.co/oz0C1i1uZt",2021-04-27 11:46:50,es
116,candlasequeira,"vinimos a honorio y pedimos:
- una chocolatada con medialunas
- café con tostados
-un súper Pancho con papas con ch… https://t.co/uVs4g30lfr",2021-04-27 10:47:05,es
117,gisemagallaness,son las 7 de la mañana y tengo ganas de una hamburguesa con cheddar y papas fritas,2021-04-27 10:36:08,es
118,lastminutesnews,Día Del Niño y Carl’s Jr.® 2021.: Este 30 de abril es el #DiaDelNiño y en Carl's Jr.® podrás llevarte una Hamburgue… https://t.co/NUHCtU8DAT,2021-04-27 08:22:11,es
119,michellealxndrs,Pk se me antoja una hamburguesa con mucho aguacate y extra pepinillos a esta hora 🥲?,2021-04-27 07:58:53,es
120,Daniela89715351,Se me acaba de antojar una hamburguesa con papas ¡A esta hora!,2021-04-27 07:54:27,es
121,RlBeYourself,Hamburguesa con queso https://t.co/v12ig9wv6u,2021-04-27 07:30:11,es
122,SusaSu_,Qué ganas de una hamburguesa con papassss,2021-04-27 07:27:48,es
123,Mario_Araya11,"Una tere hamburguesa con extra papas y extra de salsas, eso pido",2021-04-27 07:24:59,es
124,Harrinsonx,A mi seguidor 10.000 le voy a regalar un combo de hamburguesa con papas fritas,2021-04-27 06:56:21,es
125,diosayslin,Cambio a mi novio por una hamburguesa con papas. 🤤,2021-04-27 06:31:44,es
126,lionellocura,"@lisalilhoe yo te invitaría a una cervecería, para conocernos..estoy seguro q sos re copada!! ademas tengo ganas de… https://t.co/FLxEBIOvmS",2021-04-27 06:22:40,es
127,DebyBowie,"¿Estás bien, cariño? Casi no has tocado tu hamburguesa con minigorrito de Super Mario. https://t.co/lGRdcs2aBn",2021-04-27 06:22:05,es
128,Xime_Jimenez23,Tengo ganas de una hamburguesa con guacamole de Burger King.,2021-04-27 06:18:14,es
129,Diezdemarzo10,"Comente una hamburguesa con doble carne, júntate con muchos amigos o con 1 solo, pero que valga/n la pena, llora, r… https://t.co/2svt34PEOA",2021-04-27 06:08:57,es
130,80sXBSESSED,"No sé, ¿qué te apetece comer para no estar tan muerto de hambre?

──Aunque él ya tenía en mente una buena hamburgue… https://t.co/Xmjge6Pj4b",2021-04-27 05:56:27,es
131,tania_leguizamo,me dio hambre de una hamburguesa con mucha panceta,2021-04-27 05:04:08,es
132,xMrAndrews,"@Juggiie_ &lt; algo poco creíble. 

—Su mirada se centró en la de su amigo mientras este parecía pensar. Aprovechó eso… https://t.co/lF55LORiMY",2021-04-27 04:47:21,es
133,Ntrr161,"hoy me comí cuatro naranjas para cenar
y después me hice una hamburguesa con cebolla caramelizada
dios me odio tanto",2021-04-27 04:35:48,es
134,kiotodrift,no me vas a comparar una hamburguesa con un chocolate uno no compara a dios con la mierda,2021-04-27 04:06:54,es
135,jona_pvto,"@AnairoI Alaaaaa wnaaa yo me hacia una hamburguesa con estos lit
Ponía papel su cremita en todos lados otro papel y… https://t.co/i3l3WQfAlv",2021-04-27 04:05:07,es
136,mili_urbe05,que gaaanas de comerme una hamburguesa con papas🥺🥺😭,2021-04-27 04:03:45,es
137,FlorBevilacqqua,"Vieron qué hay cosas que siempre vienen juntas, como el tire y empuje, hamburguesa con papas, milanesas con puré, h… https://t.co/USZ1OtgR2M",2021-04-27 04:03:20,es
138,PJM_INFO,"una respuesta explosiva después de publicar ""jimin burger NOW"" en Twitter el día 25. 

Los netizens respondieron co… https://t.co/xwA4S3gBQI",2021-04-27 03:57:54,es
139,victoriamorelr,Pero soy adicta a la hamburguesa con papa frita y Coca Cola 🤡 https://t.co/DsBDuJnIwe,2021-04-27 03:56:53,es
140,elaguapanela,"@OviedoV1011 Nos fuimos. ¿donde Llego?
 Voy en forma de hamburguesa con papitas.",2021-04-27 03:53:02,es
141,Zulimachcobo_,@negromangueraa Y que haces tú comiendo hamburguesa con huevo a ésta hora??,2021-04-27 03:50:19,es
142,gomezgtz,@ElNitoh Salen una hamburguesa con papas con todo!,2021-04-27 03:44:24,es
143,luciau0812_,A esta hora estaba llorando porque compré comida en Bogotá y esa vaina estaba más fría que los sentimientos de mi c… https://t.co/hki7UAmotJ,2021-04-27 03:25:08,es
144,micaelasilveir_,"gente please, yo soy la persona que fue al bk, se comió una hamburguesa con el pan casi carbonizado y no fue a pedi… https://t.co/sH94CXCuRF",2021-04-27 03:21:14,es
145,MacruzMolina,"Todo el día me quejo porque subí de peso, y llegó a cenar hamburguesa con papas fritas 🥺 help",2021-04-27 03:13:50,es
146,LucitaaGaleano,"Ella merece una hamburguesa con papas fritas y coca, ella soy yo",2021-04-27 03:11:04,es
147,ludmilafeldmann,una hamburguesa con un vaso de fernet https://t.co/WEk8QEODyp,2021-04-27 03:09:37,es
148,mugremau,"Como ya mañana empieza mi vida fit, hoy cené una hamburguesa con takis fuego. 

Cc: @erasfragil",2021-04-27 03:00:57,es
149,jaaviMC,Quiero una hamburguesa con chingo de queso 🥺🥺🥺🥺,2021-04-27 02:58:14,es
150,zanoniantonella,"Locales que te vende alta hamburguesa, con papas por 550 pe y yo PAGUE 700$ una hamburguesa de morondanga sin nada.… https://t.co/EUxqhimA1a",2021-04-27 02:57:40,es
151,LaMaitrennial,@_Madredegatos @elbajonsv2 Extraño tu hamburguesa con piña 🥺,2021-04-27 02:54:44,es
152,DannyWiQ,"@laurelyeye Eso suena delicioso
Je je je je
Ya tiene rato que quiero comer una hamburguesa con papas 😥 y pues no se da
Je je je je",2021-04-27 02:53:25,es
153,Caro_gonzalezf,Tengo deseos de una hamburguesa con papas fritas.😋😋😋,2021-04-27 02:51:42,es
154,marieleins,"@paodavalos_a @EditorEnBici @JulioCesarUV Pie de piña. 
Hamburguesa con piña",2021-04-27 02:49:06,es
155,YisusAVelasquez,"Para conquistarme no pido mucho, con una hamburguesa con su refresco está bien",2021-04-27 02:36:34,es
156,Priss_239,Podrían mandarme 1 hamburguesa con papas gracias,2021-04-27 02:32:27,es
157,Melbayon98,Salgo de esta y me voy a comer mansa hamburguesa con papas fritas,2021-04-27 02:29:00,es
158,marcossergiop,Yo no acompañaría una hamburguesa con un milkshake 🤔🤔,2021-04-27 02:26:15,es
159,Sfreites17,Hoy me regalaron una paleta de chocolate cremosa y una hamburguesa con papas fritas que más,2021-04-27 02:23:44,es
160,Jaimetalero,"@spangrun Como todas las teorías, no es una ley. Pero en serio, las necesidades no se pueden inventar, ya las tenem… https://t.co/U4ZRwDWAkB",2021-04-27 02:21:57,es
161,iSUH0__0,@ticklovebot hamburguesa con guarnición de fetos,2021-04-27 02:16:04,es
162,bel3008,"Estos wachos de mierda siempre me critican de que cuando salgo a merendar termino merendando hamburguesa con birra , Y CUAL FUEEEEEEEEEEE",2021-04-27 02:10:12,es
163,_elcosme,@camilajaraacha Por macanada te referís a una mega hamburguesa con papas fritas verdad?,2021-04-27 02:08:45,es
164,MariaCamila1615,La vida me pide mucho y yo solo quiero comer hamburguesa con alguien que me quiera.,2021-04-27 02:00:29,es
165,monseva13,"Todos deberían diagnosticarse por lo menos una vez al mes, una hamburguesa con papas de Carl’s Jr",2021-04-27 01:58:36,es
166,luzfernandezzz,"yo: lloro xq estoy gorda y tengo granitos 
tmb yo: desde el viernes como hamburguesa con papas fritas todos los días",2021-04-27 01:56:43,es
167,FaustoNieto5,Que ganas de una hamburguesa con papas,2021-04-27 01:52:52,es
168,KerenCassiani1,Quiero una hamburguesa con papitas 😢,2021-04-27 01:51:58,es
169,MelaaRoman,"Muero por una hamburguesa con papas y birra, quien me mando a vivir tan lejos q no llega ningún lugar :'(",2021-04-27 01:39:11,es
170,GSWarriorsCo,"Kjjjj Kevin Love tiene las mismas ganas de jugar, que yo de hacer dieta, comer sano, y no pedirme una hamburguesa c… https://t.co/6SzZGmihfw",2021-04-27 01:37:25,es
171,VickyJofr1,"Querés ir a comer una hamburguesa con papas conmigo?

enviar.",2021-04-27 01:35:03,es
172,Yayirp2002,Tengo hambre de hamburguesa con cheddar y papas,2021-04-27 01:34:13,es
173,romii_ailen,"gracias brian por existir y mandarme hamburguesa con papas cheddar, bendiciones ahre",2021-04-27 01:27:34,es
174,byakuluv,@i9aki tampoco tenía pero me hice una hamburguesa con pan de molde 😔,2021-04-27 01:25:04,es
175,hernandroblas,@andres_krom Extraño ir a Creep en MDQ. La mejor hamburguesa con provo,2021-04-27 01:22:54,es
176,RootChodooken,"@BknPinguino @Cookirb es que man, sabe bien si es hamburguesa con palta sola, pero si es una hamburguesa con varias… https://t.co/d5Rtqhl77E",2021-04-27 01:14:38,es
177,antoleon__,solo una hamburguesa con mucho cheddar sanará mi corazón,2021-04-27 01:13:53,es
178,Jotcakes,Llevenme a comer hamburguesa con papitas 🐷,2021-04-27 01:11:51,es
179,EliiiGonzalez_,Festeje que salve un parcial comiendo hamburguesa con fideos 😳,2021-04-27 01:09:18,es
180,collante_pilar,Muero por una hamburguesa con papas,2021-04-27 01:07:48,es
181,lxurxcorrxdo,"No puedo estar tan del culo 

Cené una hamburguesa con 2 huevos 
Un desgano",2021-04-27 01:07:07,es
182,arrietaamon,"NECESITO una hamburguesa con cheddar y bacon. Y no me responde de donde estoy pidiendo aca en Encar, la Virginia no me haría esperar jamas 😔",2021-04-27 01:06:49,es
183,Mayraa__12,"Estoy en el departamento de una amiga Comiendo una hamburguesa con papas y viendo shrek, necesitaba un poco de paz.",2021-04-27 01:04:02,es
184,Urzagastievelyn,Necesito una hamburguesa con papitas!!¡!!,2021-04-27 01:02:45,es
185,2JmanuRosales,"Irme al baño y que mágicamente en ese ratito mi perro me desaparezca mi hamburguesa con papas. 
Regalo perro cruza… https://t.co/8AyoridZ7w",2021-04-27 00:59:04,es
186,CarlosZapata_VE,Hoy voy a cenar hamburguesa con mi papá vale💛,2021-04-27 00:58:31,es
187,A_drianamtz,Quiero una pinche hamburguesa con papas.,2021-04-27 00:54:13,es
188,LuchoCeliz,Una hamburguesa con cheddar necesito para sentirme vivo,2021-04-27 00:46:32,es
189,cinthiasanchez_,Aa que antojito de una hamburguesa con mucho cheddar,2021-04-27 00:41:44,es
190,LuliiBarretoo,Que ganas de comer hamburguesa con papas😫,2021-04-27 00:39:50,es
191,anixpuchi,Burde chimbo comer hamburguesa con agua 🙃,2021-04-27 00:26:57,es
192,felipeorjuelaca,"Yo: No volveré a comer de noche e iniciaré de nuevo con el ejercicio. 

La vida: Aún cuando estoy en un lugar apart… https://t.co/96GqQqcn68",2021-04-27 00:22:02,es
193,missdramas____,Tengo antojos de hamburguesa con papitas fritas y coca cola 😋.,2021-04-27 00:09:15,es
194,centralbIink,tengo ganas d una hamburguesa con cheddar y bannnda d fritas,2021-04-27 00:06:46,es
195,joaqui095,send una hamburguesa con papas,2021-04-27 00:06:21,es
196,luisa28meza,Ame comer hamburguesa con yogurt,2021-04-27 00:04:24,en
197,JayJayGirald,Esa molestía que siento al ver un bobo hpta de presidente se me asemeja a la de ver una persona comerse una hamburg… https://t.co/5xOZbM4Biu,2021-04-27 00:03:07,es
198,cotiibenegas,mi mm en clase y yo to desesperada dando vueltas por toda la cocina pensando cómo hacer bien una hamburguesa con huevo para q no me rete,2021-04-26 23:58:17,es
199,LuanaGarcia__,Las ganas que tengo de comer una buena hamburguesa con papas por dioooooo,2021-04-26 23:56:55,es
200,onesadmeme,Quiero una hamburguesa con hojuelitas de queso dentro!,2021-04-26 23:54:39,es
201,SamyConte,una hamburguesa con cheddar en exceso no me vendría para nada mal,2021-04-26 23:53:00,es
202,M_Chparro,Quiero una hamburguesa con papitaaaaaas🤤,2021-04-26 23:45:51,es
203,Avdsg3,"Mi apa se queja de que estoy comiendo mucho, pero adivinen quien me trajo una hamburguesa con una merengada 🤡🤡",2021-04-26 23:40:37,es
204,marianapena040,Tengo más ganas de comer una hamburguesa con papas que de vivir,2021-04-26 23:40:06,es
205,otbxbtl91,ahora quiero una hamburguesa con queso🕴🏻,2021-04-26 23:35:19,es
206,micaesponja,que ganas que tengo en este momento de una tremenda hamburguesa con unas papas con cheddarrrr y de paso algo dulce… https://t.co/kZUcSFwQdm,2021-04-26 23:33:58,es
207,ranboosvn,"@ffroggiekarl igual quien pingo va a pagar 9 dolares por esa hamburguesa, osea yo ni en pedo porque so me gusta la… https://t.co/KVz8uThTml",2021-04-26 23:30:35,es
